"month","date","article1","article2","article3","article4","article5","article6","article7","article8","article9","article10","totalarticles","sales1","sales2","sales3","sales4","sales5","sales6","sales7","sales8","sales9","sales10","totalsales","offlinesales","onlinesales"
"2015-09",500805,163,78,40,93,67,149,33,227,91,60,1001,407.5,1947.85,6226.6,912.8,236.35,1059.5,2583.55,220.05,505.3,1165.45,15100.5,6707.37409410289,8393.12590589711
"2015-10",518444,192,86,24,130,60,155,22,221,83,58,1031,480,2294.4,7334.4,1075.2,278.4,1248,3043.2,259.2,595.2,1372.8,17639,8559.21242257379,9079.78757742621
"2015-11",502635,163,98,33,142,68,164,28,205,89,65,1055,407.5,1947.85,6226.6,912.8,236.35,1059.5,2583.55,220.05,505.3,1165.45,15154.5,5295.6707083823,9858.8292916177
"2015-12",520335,189,98,36,130,63,139,30,226,102,59,1072,472.5,2258.55,7219.8,1058.4,274.05,1228.5,2995.65,255.15,585.9,1351.35,17420.5,8551.04563885239,8869.45436114761
"2016-01",521296,191,97,38,116,72,146,27,237,95,51,1070,477.5,2282.45,7296.2,1069.6,276.95,1241.5,3027.35,257.85,592.1,1365.65,17591.5,4770.64239249088,12820.8576075091
"2016-02",488534,168,99,27,99,65,141,28,183,79,51,940,420,2007.6,6417.6,940.8,243.6,1092,2662.8,226.8,520.8,1201.2,15472,6976.30244707388,8495.69755292612
"2016-03",523156,195,97,23,106,61,157,34,223,105,59,1060,487.5,2330.25,7449,1092,282.75,1267.5,3090.75,263.25,604.5,1394.25,17927.5,10824.0011475031,7103.4988524969
"2016-04",507195,195,86,34,125,47,165,29,201,90,52,1024,487.5,2330.25,7449,1092,282.75,1267.5,3090.75,263.25,604.5,1394.25,17891.5,9268.16009365226,8623.33990634774
"2016-05",525047,185,92,33,108,50,160,30,207,108,56,1029,462.5,2210.75,7067,1036,268.25,1202.5,2932.25,249.75,573.5,1322.75,17031.5,6957.96874974636,10073.5312502536
"2016-06",509025,167,94,46,132,56,147,37,197,95,60,1031,417.5,1995.65,6379.4,935.2,242.15,1085.5,2646.95,225.45,517.7,1194.05,15476.5,7148.48086170182,8328.01913829818
"2016-07",526938,182,109,28,139,75,143,30,213,99,54,1072,455,2174.9,6952.4,1019.2,263.9,1183,2884.7,245.7,564.2,1301.3,16815,10717.2801154858,6097.71988451422
"2016-08",527899,179,98,27,125,57,148,30,228,90,61,1043,447.5,2139.05,6837.8,1002.4,259.55,1163.5,2837.15,241.65,554.9,1279.85,16526.5,8889.76392854241,7636.73607145759
"2016-09",511785,186,77,36,104,55,164,27,210,95,58,1012,465,2222.7,7105.2,1041.6,269.7,1209,2948.1,251.1,576.6,1329.9,17101,7473.47324434101,9627.52675565899
"2016-10",529790,164,99,36,111,64,159,27,201,92,76,1029,410,1959.8,6264.8,918.4,237.8,1066,2599.4,221.4,508.4,1172.6,15215,4799.91130639347,10415.0886936065
"2016-11",513615,185,94,30,113,60,135,34,218,87,56,1012,462.5,2210.75,7067,1036,268.25,1202.5,2932.25,249.75,573.5,1322.75,17014.5,7653.23063627605,9361.26936372395
"2016-12",531681,153,83,24,137,65,143,34,196,83,77,995,382.5,1828.35,5844.6,856.8,221.85,994.5,2425.05,206.55,474.3,1093.95,14229.5,6874.09610898932,7355.40389101068
"2017-01",532642,196,89,35,141,73,150,33,220,104,59,1100,490,2342.2,7487.2,1097.6,284.2,1274,3106.6,264.6,607.6,1401.4,18054,11357.4452687683,6696.55473123174
